#Date,amazon,google
#Date,amazon,google
19-02-2015,373.490000,538.040000
31-03-2015,373.240000,550.000000
12-05-2015,336.242400,425.280000
07-01-2016,621.800000,730.310000
03-09-2015,401.310000,462.750000
11-09-2015,521.070000,619.750000
13-01-2016,620.880000,730.850000
11-12-2015,651.230000,741.160000
27-04-2015,346.210800,433.810300
17-09-2015,526.980000,637.790000
02-04-2015,288.990000,421.863000
13-04-2015,306.824000,419.959800
10-11-2015,653.000000,724.400000
24-09-2015,530.550000,616.640000
12-06-2015,431.250000,531.600000
22-09-2015,539.710000,627.000000
22-07-2015,485.990000,660.890000
07-12-2015,674.740000,767.770000
23-10-2015,617.680000,727.500000
23-03-2015,298.675300,437.135400
18-02-2015,375.420000,541.400000
11-08-2015,523.650000,669.200000
29-06-2015,434.980000,525.010000
23-06-2015,435.590000,539.640000
29-12-2015,677.980000,766.690000
22-12-2015,666.830000,751.650000
20-11-2015,497.962500,597.224000
13-08-2015,527.370000,659.320000
29-05-2015,427.230000,537.370000
13-11-2015,663.570000,729.170000
21-12-2015,668.500000,746.130000
20-07-2015,492.570000,659.240000
21-10-2015,445.457300,510.237000
30-07-2015,527.650000,630.000000
02-12-2015,681.000000,768.900000
11-05-2015,432.510000,538.370000
20-10-2015,572.000000,664.040000
30-03-2015,371.870000,551.620000
09-07-2015,434.900000,523.120000
20-05-2015,420.600000,538.490000
08-12-2015,523.872700,591.154200
04-08-2015,413.158200,490.167600
19-03-2015,373.870000,559.390000
04-12-2015,532.800000,594.949000
14-12-2015,641.750000,741.790000
04-01-2016,656.290000,743.000000
28-12-2015,665.560000,752.920000
28-01-2016,468.444900,548.887200
27-02-2015,384.000000,554.240000
19-06-2015,343.402800,402.907500
02-06-2015,430.070000,532.930000
19-11-2015,664.990000,738.740000
26-06-2015,441.760000,537.260000
30-09-2015,379.080000,482.624000
05-05-2015,422.850000,538.210000
01-05-2015,423.820000,538.430000
12-11-2015,673.000000,731.000000
05-01-2016,646.860000,746.450000
14-05-2015,429.450000,533.770000
02-02-2016,456.000000,596.220000
09-04-2015,380.660000,541.030000
01-06-2015,430.400000,536.790000
14-01-2016,580.250000,705.380000
13-07-2015,448.290000,532.880000
25-02-2015,377.270000,535.900000
