#Date,amazon,google
#Date,amazon,google
09-11-2015,395.190000,416.214000
31-07-2015,312.672200,372.514200
11-03-2015,370.610000,555.140000
07-07-2015,239.624000,292.952800
17-09-2015,526.980000,637.790000
14-05-2015,236.197500,320.262000
24-07-2015,318.444500,388.200000
02-04-2015,222.300000,324.510000
17-03-2015,218.954900,325.508900
26-03-2015,369.590000,557.590000
05-03-2015,231.366000,345.012000
23-09-2015,312.214000,373.230000
05-08-2015,538.800000,634.330000
02-07-2015,437.000000,521.080000
28-07-2015,294.800000,360.713100
01-04-2015,372.100000,548.600000
05-05-2015,422.850000,538.210000
20-02-2015,378.620000,543.130000
13-02-2015,219.477800,326.010000
04-01-2016,656.290000,743.000000
14-09-2015,296.486400,350.392000
31-03-2015,373.240000,550.000000
08-09-2015,508.690000,612.490000
18-08-2015,299.622400,397.140000
17-06-2015,428.360000,529.370000
09-12-2015,379.680000,425.135200
21-01-2016,573.580000,702.180000
19-11-2015,664.990000,738.740000
15-09-2015,308.717500,369.753000
22-06-2015,437.000000,539.590000
03-12-2015,394.075200,459.606000
24-04-2015,245.840000,317.016000
21-05-2015,428.000000,537.950000
03-11-2015,629.530000,718.860000
10-06-2015,251.611400,296.441600
10-04-2015,215.213600,309.105300
20-10-2015,572.000000,664.040000
03-09-2015,514.500000,617.000000
11-12-2015,651.230000,741.160000
19-08-2015,304.231800,374.262000
02-12-2015,394.980000,461.340000
22-12-2015,666.830000,751.650000
11-08-2015,298.480500,388.136000
19-02-2015,220.359100,306.682800
20-11-2015,663.950000,746.530000
18-06-2015,236.665000,307.980000
09-06-2015,422.960000,527.560000
23-07-2015,491.660000,661.270000
15-01-2016,572.240000,692.290000
07-08-2015,306.912800,384.138000
26-01-2016,350.001000,406.894500
06-11-2015,655.000000,731.500000
18-05-2015,426.000000,532.010000
03-08-2015,537.450000,625.340000
11-05-2015,432.510000,538.370000
22-09-2015,307.634700,363.660000
24-02-2015,378.650000,530.000000
10-09-2015,515.150000,613.100000
01-12-2015,673.750000,747.110000
10-03-2015,377.450000,564.250000
10-02-2015,371.190000,529.300000
21-07-2015,487.900000,655.210000
15-12-2015,665.030000,753.000000
16-09-2015,287.089000,349.508500
04-03-2015,385.710000,571.870000
30-04-2015,427.110000,547.870000
01-09-2015,294.492600,331.298000
12-11-2015,383.610000,423.980000
13-07-2015,448.290000,532.880000
12-01-2016,625.250000,721.680000
04-06-2015,238.920000,295.768000
02-06-2015,249.440600,298.440800
19-01-2016,328.941300,407.914000
09-03-2015,378.400000,566.860000
23-11-2015,671.500000,757.450000
17-11-2015,377.377000,415.695300
06-07-2015,252.433400,301.310000
05-11-2015,647.100000,729.470000
28-09-2015,286.011000,341.790400
17-04-2015,221.925400,296.049600
22-05-2015,431.550000,540.150000
11-09-2015,312.642000,365.652500
25-06-2015,438.070000,538.870000
09-07-2015,252.242000,292.947200
16-03-2015,218.524200,325.060500
26-05-2015,251.458000,322.872000
31-08-2015,284.042000,376.524000
20-04-2015,208.202500,289.080000
29-06-2015,252.288400,294.005600
14-04-2015,218.600700,311.025000
13-10-2015,327.756000,366.595500
15-10-2015,547.750000,654.660000
09-09-2015,524.000000,621.220000
14-01-2016,580.250000,705.380000
01-06-2015,253.936000,295.234500
04-05-2015,424.800000,538.530000
07-04-2015,376.150000,538.080000
24-12-2015,663.350000,749.550000
15-05-2015,428.000000,539.180000
29-09-2015,303.600000,328.504000
05-06-2015,244.906200,316.446500
06-03-2015,231.312000,321.932800
29-12-2015,406.788000,444.680200
23-04-2015,390.210000,541.000000
27-03-2015,367.110000,553.000000
20-08-2015,307.626200,393.276000
12-03-2015,210.227400,309.965600
08-01-2016,619.660000,731.450000
13-05-2015,429.980000,530.560000
26-02-2015,222.760600,315.061800
23-03-2015,207.938500,308.236500
13-04-2015,222.447400,317.661900
27-11-2015,388.056000,426.622200
16-07-2015,265.335000,327.769600
10-07-2015,440.490000,526.290000
23-06-2015,243.930400,312.991200
21-08-2015,507.360000,639.780000
26-08-2015,290.412000,360.106500
11-11-2015,364.787500,417.502200
20-01-2016,327.328800,392.507700
03-06-2015,434.400000,539.910000
15-07-2015,273.193600,313.672800
01-07-2015,439.350000,524.730000
28-08-2015,517.500000,632.820000
29-07-2015,530.920000,628.800000
25-11-2015,384.750000,441.402600
01-02-2016,578.150000,750.460000
30-06-2015,434.200000,526.020000
06-08-2015,312.794000,354.750000
04-08-2015,317.814000,358.199400
30-11-2015,392.022000,411.845500
25-01-2016,358.794000,426.912200
15-06-2015,427.660000,528.000000
17-12-2015,680.000000,762.420000
19-06-2015,264.156000,300.837600
18-12-2015,668.650000,746.510000
12-05-2015,431.080000,531.600000
30-07-2015,295.484000,352.800000
05-02-2015,366.000000,523.790000
08-06-2015,242.603400,309.319800
25-03-2015,213.846900,336.595000
08-07-2015,434.350000,521.050000
19-10-2015,319.625600,370.260800
11-02-2015,371.230000,535.300000
24-03-2015,373.990000,562.560000
10-12-2015,665.590000,752.850000
06-05-2015,421.430000,531.240000
29-04-2015,426.750000,550.470000
17-08-2015,292.209500,367.808000
21-10-2015,563.870000,654.150000
07-12-2015,674.740000,767.770000
22-01-2016,588.730000,723.600000
14-08-2015,528.250000,655.010000
30-03-2015,371.870000,551.620000
16-06-2015,424.150000,528.400000
08-12-2015,377.984100,424.418400
30-12-2015,691.890000,776.600000
20-07-2015,295.542000,375.766800
23-12-2015,666.500000,753.470000
28-12-2015,665.560000,752.920000
01-05-2015,254.292000,317.673700
04-12-2015,666.000000,753.100000
16-11-2015,640.920000,715.600000
05-01-2016,646.860000,746.450000
27-07-2015,311.372500,360.180000
04-09-2015,293.613500,342.000000
12-10-2015,307.777200,353.149500
14-12-2015,365.797500,437.656100
04-11-2015,376.656000,404.320000
24-08-2015,264.240600,332.340000
02-02-2016,570.000000,784.500000
24-09-2015,530.550000,616.640000
06-02-2015,374.870000,527.640000
14-10-2015,319.777200,391.926000
04-02-2015,358.380000,529.240000
30-10-2015,375.606000,393.651500
27-10-2015,346.902000,389.059000
27-08-2015,282.540500,370.852000
02-11-2015,376.278000,405.304200
14-07-2015,268.145600,317.120800
08-05-2015,430.750000,536.650000
18-11-2015,646.510000,727.580000
30-09-2015,505.440000,603.280000
16-04-2015,211.029500,312.641000
11-01-2016,612.480000,716.610000
18-09-2015,534.620000,636.790000
26-06-2015,441.760000,537.260000
18-02-2015,375.420000,541.400000
28-10-2015,342.888000,396.104800
23-02-2015,226.229600,321.630000
03-03-2015,383.950000,570.450000
13-03-2015,222.912000,321.030000
19-03-2015,220.583300,313.258400
02-09-2015,505.090000,605.590000
21-12-2015,394.415000,432.755400
11-06-2015,246.405300,301.515200
27-04-2015,443.860000,563.390000
13-01-2016,372.528000,423.893000
22-10-2015,331.993000,375.086000
08-04-2015,206.063000,306.876600
01-10-2015,511.000000,608.370000
26-10-2015,602.300000,701.550000
28-01-2016,346.770900,404.443200
06-04-2015,214.658000,303.365400
06-10-2015,327.300000,383.304000
07-01-2016,621.800000,730.310000
09-04-2015,380.660000,541.030000
17-02-2015,207.746000,311.693100
22-04-2015,391.910000,534.400000
21-09-2015,310.268100,348.920000
27-02-2015,226.560000,315.916800
29-05-2015,427.230000,537.370000
31-12-2015,686.080000,769.500000
28-04-2015,438.510000,554.640000
17-07-2015,262.735000,376.420000
25-02-2015,226.362000,321.540000
22-07-2015,485.990000,660.890000
12-02-2015,225.060000,316.977500
19-05-2015,254.922000,320.388000
27-05-2015,427.450000,532.800000
06-01-2016,622.000000,730.000000
24-11-2015,404.484000,451.200000
24-06-2015,444.970000,540.000000
12-08-2015,314.250000,397.848000
02-10-2015,512.990000,607.200000
25-09-2015,542.570000,629.770000
13-08-2015,295.327200,375.812400
10-11-2015,653.000000,724.400000
25-08-2015,487.490000,614.910000
13-11-2015,378.234900,408.335200
16-12-2015,384.864800,427.500000
29-10-2015,617.700000,710.500000
20-05-2015,231.330000,301.554400
02-03-2015,217.084500,308.291500
12-06-2015,431.250000,531.600000
27-01-2016,349.154200,413.928600
20-03-2015,376.290000,561.650000
18-03-2015,203.483500,325.975000
15-04-2015,215.404000,290.785000
16-10-2015,310.898500,365.260500
09-02-2015,371.000000,528.000000
23-10-2015,358.254400,407.400000
10-08-2015,528.520000,639.480000
21-04-2015,234.786000,295.630500
29-01-2016,571.980000,731.530000
07-05-2015,250.248500,309.154100
28-05-2015,236.340500,317.425900
03-02-2016,553.500000,770.220000
