#Date,amazon,google
#Date,amazon,google
05-08-2015,301.728000,361.568100
22-05-2015,245.983500,302.484000
25-06-2015,254.080600,307.155900
30-12-2015,691.890000,776.600000
07-05-2015,424.150000,523.990000
21-04-2015,391.310000,537.510000
28-10-2015,349.011000,424.398000
23-03-2015,378.070000,560.430000
07-01-2016,373.080000,423.579800
23-09-2015,317.597000,342.127500
31-12-2015,686.080000,769.500000
08-04-2015,374.660000,538.380000
02-10-2015,297.534200,346.104000
03-11-2015,352.536800,416.938800
14-08-2015,301.102500,393.006000
05-03-2015,385.610000,575.020000
06-08-2015,296.615000,387.000000
19-11-2015,392.344100,443.244000
18-08-2015,535.040000,661.900000
20-11-2015,371.812000,440.452700
22-04-2015,391.910000,534.400000
19-10-2015,319.625600,396.708000
17-12-2015,680.000000,762.420000
27-08-2015,287.677600,383.640000
08-01-2016,365.599400,431.555500
20-03-2015,222.011100,336.990000
17-08-2015,531.290000,656.800000
24-09-2015,297.108000,369.984000
28-05-2015,236.340500,322.806000
17-04-2015,382.630000,528.660000
26-05-2015,426.200000,538.120000
09-11-2015,362.257500,416.214000
18-12-2015,668.650000,746.510000
20-01-2016,338.616000,385.621600
16-04-2015,383.690000,529.900000
08-09-2015,300.127100,342.994400
14-05-2015,257.670000,293.573500
28-12-2015,665.560000,752.920000
06-05-2015,240.215100,318.744000
26-03-2015,369.590000,557.590000
18-09-2015,534.620000,636.790000
01-02-2016,578.150000,750.460000
15-09-2015,308.717500,344.685000
12-03-2015,368.820000,553.510000
17-03-2015,218.954900,303.440500
04-02-2015,358.380000,529.240000
09-02-2015,222.600000,295.680000
27-05-2015,235.097500,303.696000
29-05-2015,427.230000,537.370000
03-08-2015,537.450000,625.340000
02-12-2015,681.000000,768.900000
12-08-2015,523.750000,663.080000
26-01-2016,603.450000,713.850000
24-03-2015,209.434400,326.284800
20-02-2015,378.620000,543.130000
10-09-2015,515.150000,613.100000
28-04-2015,438.510000,554.640000
28-01-2016,365.022000,404.443200
27-04-2015,443.860000,563.390000
18-06-2015,430.300000,531.000000
28-07-2015,536.000000,632.830000
06-02-2015,374.870000,527.640000
21-10-2015,563.870000,654.150000
11-02-2015,371.230000,535.300000
13-11-2015,378.234900,408.335200
06-07-2015,248.081100,296.115000
11-08-2015,523.650000,669.200000
18-11-2015,387.906000,407.444800
15-06-2015,427.660000,528.000000
04-11-2015,627.760000,722.000000
14-12-2015,359.380000,430.238200
30-03-2015,204.528500,308.907200
13-02-2015,223.261900,309.709500
12-06-2015,258.750000,292.380000
12-10-2015,539.960000,642.090000
29-09-2015,506.000000,597.280000
15-05-2015,243.960000,323.508000
23-06-2015,243.930400,302.198400
01-07-2015,439.350000,524.730000
08-07-2015,247.579500,296.998500
30-11-2015,378.504000,449.286000
24-11-2015,377.518400,428.640000
07-04-2015,376.150000,538.080000
30-06-2015,434.200000,526.020000
08-12-2015,663.130000,757.890000
27-03-2015,209.252700,326.270000
24-02-2015,378.650000,530.000000
24-08-2015,254.969000,343.800000
21-07-2015,487.900000,655.210000
09-03-2015,227.040000,311.773000
06-03-2015,385.520000,574.880000
10-07-2015,255.484200,299.985300
19-01-2016,577.090000,703.300000
03-03-2015,383.950000,570.450000
19-03-2015,213.105900,313.258400
28-08-2015,517.500000,632.820000
06-11-2015,386.450000,431.585000
04-08-2015,307.220200,364.483600
11-03-2015,218.659900,310.878400
04-09-2015,497.650000,600.000000
10-08-2015,290.686000,364.503600
17-11-2015,383.883500,415.695300
13-07-2015,448.290000,532.880000
19-05-2015,424.870000,533.980000
22-09-2015,539.710000,627.000000
21-08-2015,304.416000,383.868000
22-12-2015,666.830000,751.650000
02-02-2016,342.000000,462.855000
31-07-2015,539.090000,631.380000
13-01-2016,620.880000,730.850000
05-02-2015,366.000000,523.790000
09-06-2015,422.960000,527.560000
05-01-2016,388.116000,447.870000
20-08-2015,530.390000,655.460000
16-10-2015,327.856600,385.183800
11-06-2015,432.290000,538.420000
27-07-2015,527.750000,621.000000
17-02-2015,219.077600,300.756500
19-06-2015,440.260000,537.210000
13-08-2015,311.148300,362.626000
21-05-2015,256.800000,317.390500
20-07-2015,270.913500,395.544000
01-06-2015,249.632000,305.970300
08-05-2015,258.450000,305.890500
06-04-2015,207.256000,303.365400
31-08-2015,299.535200,345.147000
04-05-2015,246.384000,296.191500
02-11-2015,376.278000,398.193600
24-07-2015,335.814200,368.790000
30-04-2015,427.110000,547.870000
23-12-2015,379.905000,429.477900
06-10-2015,545.500000,638.840000
23-02-2015,383.440000,536.050000
12-05-2015,431.080000,531.600000
25-11-2015,391.500000,441.402600
26-08-2015,484.020000,610.350000
24-04-2015,439.000000,566.100000
28-09-2015,520.020000,610.340000
03-12-2015,679.440000,766.010000
02-09-2015,505.090000,605.590000
23-10-2015,617.680000,727.500000
29-01-2016,337.468200,438.918000
22-07-2015,485.990000,660.890000
09-04-2015,209.363000,308.387100
03-09-2015,514.500000,617.000000
21-12-2015,374.360000,432.755400
22-06-2015,437.000000,539.590000
08-06-2015,246.859600,293.320500
22-01-2016,588.730000,723.600000
04-03-2015,385.710000,571.870000
30-07-2015,527.650000,630.000000
09-09-2015,293.440000,341.671000
12-01-2016,356.392500,396.924000
20-10-2015,343.200000,378.502800
02-04-2015,214.890000,302.876000
03-06-2015,434.400000,539.910000
10-03-2015,207.597500,327.265000
24-06-2015,258.082600,297.000000
05-11-2015,368.847000,423.092600
25-02-2015,207.498500,310.822000
10-11-2015,653.000000,724.400000
21-09-2015,544.330000,634.400000
10-02-2015,371.190000,529.300000
05-06-2015,244.906200,316.446500
16-11-2015,352.506000,393.580000
13-04-2015,383.530000,538.410000
20-04-2015,215.773500,294.336000
30-10-2015,626.010000,715.730000
29-04-2015,256.050000,330.282000
26-10-2015,361.380000,392.868000
15-04-2015,384.650000,528.700000
25-09-2015,303.839200,365.266600
11-09-2015,521.070000,619.750000
19-08-2015,314.906600,387.394000
01-09-2015,499.140000,602.360000
22-10-2015,331.993000,375.086000
16-06-2015,424.150000,528.400000
16-12-2015,391.500400,442.500000
04-01-2016,656.290000,743.000000
29-10-2015,358.266000,426.300000
11-12-2015,651.230000,741.160000
14-04-2015,383.510000,536.250000
14-10-2015,319.777200,391.926000
02-03-2015,228.510000,336.318000
29-07-2015,530.920000,628.800000
02-07-2015,262.200000,286.594000
17-09-2015,526.980000,637.790000
14-01-2016,348.150000,416.174200
23-07-2015,491.660000,661.270000
17-07-2015,281.843000,389.400000
15-01-2016,572.240000,692.290000
05-05-2015,245.253000,296.015500
15-10-2015,328.650000,386.249400
11-01-2016,367.488000,415.633800
09-12-2015,678.000000,759.170000
10-12-2015,372.730400,436.653000
20-05-2015,420.600000,538.490000
25-08-2015,272.994400,356.647800
14-07-2015,263.522400,311.653200
15-07-2015,268.563200,330.476700
27-01-2016,601.990000,713.670000
31-03-2015,373.240000,550.000000
16-03-2015,211.116600,308.532000
25-01-2016,597.990000,723.580000
17-06-2015,428.360000,529.370000
07-12-2015,371.107000,452.984300
27-10-2015,608.600000,707.380000
18-02-2015,217.743600,324.840000
15-12-2015,379.067100,436.740000
18-03-2015,221.982000,303.875000
13-10-2015,546.260000,643.150000
14-09-2015,312.369600,356.649000
13-05-2015,249.388400,297.113600
02-06-2015,245.139900,309.099400
16-07-2015,465.500000,565.120000
23-11-2015,671.500000,757.450000
12-11-2015,397.070000,438.600000
01-10-2015,291.270000,365.022000
29-06-2015,434.980000,525.010000
27-02-2015,222.720000,332.544000
19-02-2015,373.490000,538.040000
21-01-2016,338.412200,407.264400
07-08-2015,529.160000,640.230000
27-11-2015,680.800000,748.460000
29-12-2015,677.980000,766.690000
25-03-2015,375.170000,570.500000
09-07-2015,434.900000,523.120000
06-01-2016,622.000000,730.000000
30-09-2015,277.992000,343.869600
23-04-2015,218.517600,297.550000
18-05-2015,255.600000,292.605500
04-12-2015,666.000000,753.100000
26-06-2015,441.760000,537.260000
01-12-2015,377.300000,440.794900
11-05-2015,246.530700,317.638300
10-04-2015,384.310000,542.290000
10-06-2015,426.460000,529.360000
16-09-2015,307.968200,374.927300
04-06-2015,434.400000,537.760000
01-04-2015,372.100000,548.600000
07-07-2015,435.680000,523.130000
12-02-2015,225.060000,322.350000
26-02-2015,211.238500,309.629700
13-03-2015,371.520000,553.500000
24-12-2015,364.842500,434.739000
