#Date,amazon,google
#Date,amazon,google
23-12-2015,666.500000,753.470000
02-02-2016,370.500000,517.770000
24-02-2015,257.482000,360.400000
24-12-2015,663.350000,749.550000
27-07-2015,343.037500,403.650000
02-04-2015,370.500000,540.850000
24-09-2015,530.550000,616.640000
30-09-2015,505.440000,603.280000
09-07-2015,291.383000,360.952800
26-02-2015,253.486200,358.518600
05-02-2015,248.880000,366.653000
26-08-2015,484.020000,610.350000
22-07-2015,340.193000,462.623000
11-05-2015,302.757000,366.091600
31-12-2015,686.080000,769.500000
14-04-2015,383.510000,536.250000
04-06-2015,304.080000,360.299200
15-07-2015,463.040000,560.130000
01-02-2016,578.150000,750.460000
09-02-2015,371.000000,528.000000
19-06-2015,299.376800,359.930700
03-12-2015,468.813600,505.566600
27-08-2015,354.459900,447.580000
02-11-2015,627.130000,711.060000
24-11-2015,451.673800,518.880000
16-09-2015,521.980000,635.470000
27-01-2016,391.293500,485.295600
07-01-2016,429.042000,474.701500
27-10-2015,608.600000,707.380000
23-07-2015,334.328800,449.663600
29-12-2015,461.026400,521.349200
10-11-2015,444.040000,499.836000
05-05-2015,283.309500,355.218600
07-12-2015,674.740000,767.770000
15-09-2015,345.345000,438.690000
26-06-2015,441.760000,537.260000
18-11-2015,446.091900,502.030200
01-04-2015,245.586000,362.076000
08-09-2015,508.690000,612.490000
19-03-2015,373.870000,559.390000
20-08-2015,355.361300,426.049000
04-05-2015,424.800000,538.530000
06-11-2015,438.850000,497.420000
11-09-2015,521.070000,619.750000
14-07-2015,314.377600,371.796800
20-05-2015,420.600000,538.490000
25-11-2015,675.000000,748.140000
13-10-2015,376.919400,443.773500
08-12-2015,431.034500,515.365200
01-07-2015,294.364500,362.063700
12-08-2015,350.912500,457.525200
30-07-2015,527.650000,630.000000
18-12-2015,461.368500,492.696600
06-05-2015,421.430000,531.240000
17-06-2015,428.360000,529.370000
12-01-2016,625.250000,721.680000
26-10-2015,602.300000,701.550000
14-10-2015,551.340000,653.210000
28-09-2015,520.020000,610.340000
05-11-2015,647.100000,729.470000
22-09-2015,539.710000,627.000000
23-03-2015,253.306900,364.279500
01-06-2015,430.400000,536.790000
13-07-2015,448.290000,532.880000
03-03-2015,383.950000,570.450000
19-10-2015,570.760000,661.180000
25-06-2015,284.745500,361.042900
17-03-2015,371.110000,551.710000
20-11-2015,431.567500,485.244500
09-03-2015,378.400000,566.860000
31-08-2015,340.850400,426.727200
09-06-2015,274.924000,364.016400
23-02-2015,383.440000,536.050000
01-09-2015,499.140000,602.360000
29-07-2015,530.920000,628.800000
08-06-2015,293.677800,351.984600
11-11-2015,663.250000,732.460000
09-11-2015,454.468500,481.932000
04-11-2015,426.876800,498.180000
02-09-2015,505.090000,605.590000
21-10-2015,563.870000,654.150000
11-02-2015,371.230000,535.300000
16-10-2015,378.730900,431.671500
02-06-2015,288.146900,367.721700
17-04-2015,382.630000,528.660000
20-03-2015,376.290000,561.650000
02-12-2015,476.700000,515.163000
28-08-2015,517.500000,632.820000
17-11-2015,650.650000,729.290000
11-12-2015,651.230000,741.160000
17-12-2015,680.000000,762.420000
10-08-2015,369.964000,422.056800
07-07-2015,287.548800,340.034500
08-05-2015,430.750000,536.650000
13-01-2016,620.880000,730.850000
06-01-2016,404.300000,481.800000
16-12-2015,663.560000,750.000000
06-03-2015,269.864000,396.667200
01-10-2015,511.000000,608.370000
19-11-2015,664.990000,738.740000
28-01-2016,425.859000,505.554000
10-04-2015,384.310000,542.290000
27-02-2015,384.000000,554.240000
02-07-2015,437.000000,521.080000
16-04-2015,383.690000,529.900000
16-07-2015,307.230000,395.584000
18-05-2015,281.160000,361.766800
15-04-2015,265.408500,354.229000
23-11-2015,436.475000,492.342500
21-09-2015,544.330000,634.400000
18-03-2015,369.970000,552.500000
31-07-2015,539.090000,631.380000
04-12-2015,666.000000,753.100000
25-02-2015,264.089000,348.335000
04-02-2015,236.530800,354.590800
01-05-2015,288.197600,366.132400
11-06-2015,280.988500,371.509800
17-09-2015,368.886000,433.697200
11-01-2016,612.480000,716.610000
25-08-2015,487.490000,614.910000
22-06-2015,437.000000,539.590000
20-10-2015,572.000000,664.040000
10-12-2015,665.590000,752.850000
03-06-2015,304.080000,372.537900
10-02-2015,371.190000,529.300000
16-11-2015,435.825600,479.452000
15-06-2015,427.660000,528.000000
10-07-2015,440.490000,526.290000
03-09-2015,514.500000,617.000000
06-02-2015,374.870000,527.640000
21-07-2015,326.893000,438.990700
12-03-2015,368.820000,553.510000
23-04-2015,269.244900,357.060000
24-07-2015,578.990000,647.000000
14-01-2016,400.372500,458.497000
20-04-2015,378.550000,525.600000
11-08-2015,523.650000,669.200000
16-06-2015,424.150000,528.400000
30-04-2015,298.977000,361.594200
05-01-2016,452.802000,485.192500
24-06-2015,444.970000,540.000000
21-08-2015,334.857600,415.857000
19-05-2015,424.870000,533.980000
22-12-2015,666.830000,751.650000
14-12-2015,641.750000,741.790000
28-07-2015,536.000000,632.830000
18-08-2015,535.040000,661.900000
22-04-2015,391.910000,534.400000
14-09-2015,529.440000,625.700000
26-05-2015,426.200000,538.120000
25-03-2015,251.363900,387.940000
28-10-2015,410.241000,480.984400
06-04-2015,370.100000,532.220000
28-05-2015,429.710000,538.010000
29-06-2015,434.980000,525.010000
25-01-2016,597.990000,723.580000
07-04-2015,244.497500,365.894400
03-08-2015,537.450000,625.340000
04-08-2015,360.189200,414.757200
31-03-2015,242.606000,385.000000
02-10-2015,512.990000,607.200000
15-10-2015,356.037500,458.262000
30-06-2015,434.200000,526.020000
15-05-2015,295.320000,372.034200
29-01-2016,571.980000,731.530000
24-03-2015,243.093500,388.166400
30-11-2015,675.900000,748.810000
17-07-2015,477.700000,649.000000
20-02-2015,378.620000,543.130000
09-09-2015,356.320000,422.429600
12-11-2015,673.000000,731.000000
09-12-2015,678.000000,759.170000
18-09-2015,534.620000,636.790000
30-12-2015,691.890000,776.600000
13-02-2015,261.102900,353.177500
02-03-2015,251.361000,381.160400
26-01-2016,603.450000,713.850000
10-03-2015,377.450000,564.250000
21-12-2015,668.500000,746.130000
27-11-2015,462.944000,516.437400
30-03-2015,371.870000,551.620000
21-01-2016,573.580000,702.180000
10-09-2015,515.150000,613.100000
09-04-2015,255.042200,362.490100
25-09-2015,542.570000,629.770000
29-04-2015,426.750000,550.470000
12-02-2015,375.100000,537.250000
27-04-2015,443.860000,563.390000
29-10-2015,407.682000,483.140000
05-03-2015,266.070900,379.513200
17-08-2015,531.290000,656.800000
16-03-2015,370.380000,550.950000
22-05-2015,431.550000,540.150000
18-02-2015,375.420000,541.400000
19-08-2015,533.740000,656.600000
23-10-2015,617.680000,727.500000
12-06-2015,288.937500,356.172000
24-04-2015,439.000000,566.100000
20-01-2016,564.360000,688.610000
12-10-2015,356.373600,449.463000
05-06-2015,429.660000,536.350000
07-08-2015,343.954000,416.149500
22-01-2016,588.730000,723.600000
26-03-2015,369.590000,557.590000
19-02-2015,373.490000,538.040000
15-01-2016,572.240000,692.290000
12-05-2015,431.080000,531.600000
28-04-2015,438.510000,554.640000
13-08-2015,358.611600,448.337600
06-10-2015,545.500000,638.840000
08-07-2015,434.350000,521.050000
05-08-2015,538.800000,634.330000
24-08-2015,305.962800,378.180000
13-11-2015,663.570000,729.170000
14-05-2015,292.026000,352.288200
06-07-2015,435.230000,519.500000
14-08-2015,369.775000,451.956900
15-12-2015,665.030000,753.000000
29-09-2015,506.000000,597.280000
17-02-2015,245.518000,382.781000
08-04-2015,243.529000,360.714600
07-05-2015,292.663500,351.073300
30-10-2015,438.207000,479.539100
27-05-2015,427.450000,532.800000
13-04-2015,383.530000,538.410000
04-01-2016,452.840100,512.670000
04-03-2015,269.997000,371.715500
21-04-2015,262.177700,360.131700
23-06-2015,435.590000,539.640000
11-03-2015,244.602600,366.392400
28-12-2015,665.560000,752.920000
19-01-2016,577.090000,703.300000
23-09-2015,360.661000,422.994000
21-05-2015,286.760000,349.667500
06-08-2015,539.300000,645.000000
08-01-2016,619.660000,731.450000
01-12-2015,673.750000,747.110000
27-03-2015,256.977000,376.040000
13-05-2015,429.980000,530.560000
18-06-2015,430.300000,531.000000
13-03-2015,371.520000,553.500000
22-10-2015,388.263000,420.355000
20-07-2015,325.096200,428.506000
29-05-2015,427.230000,537.370000
10-06-2015,426.460000,529.360000
04-09-2015,348.355000,390.000000
03-11-2015,629.530000,718.860000
03-02-2016,553.500000,770.220000
