#Date,amazon,google
#Date,amazon,google
29-10-2015,617.700000,710.500000
17-07-2015,372.606000,506.220000
30-11-2015,675.900000,748.810000
30-09-2015,389.188800,470.558400
30-03-2015,297.496000,424.747400
05-01-2016,646.860000,746.450000
08-01-2016,489.531400,585.160000
18-05-2015,426.000000,532.010000
23-02-2015,383.440000,536.050000
22-05-2015,431.550000,540.150000
06-10-2015,545.500000,638.840000
24-08-2015,463.580000,573.000000
03-06-2015,330.144000,421.129800
23-07-2015,491.660000,661.270000
22-04-2015,391.910000,534.400000
18-08-2015,535.040000,661.900000
04-12-2015,666.000000,753.100000
18-09-2015,534.620000,636.790000
26-10-2015,602.300000,701.550000
16-06-2015,424.150000,528.400000
13-11-2015,663.570000,729.170000
15-09-2015,523.250000,626.700000
01-04-2015,372.100000,548.600000
06-08-2015,426.047000,516.000000
11-01-2016,612.480000,716.610000
22-12-2015,500.122500,563.737500
20-07-2015,492.570000,659.240000
23-11-2015,517.055000,583.236500
23-10-2015,617.680000,727.500000
16-11-2015,640.920000,715.600000
16-09-2015,521.980000,635.470000
02-07-2015,437.000000,521.080000
28-04-2015,438.510000,554.640000
03-09-2015,385.875000,475.090000
02-09-2015,505.090000,605.590000
29-05-2015,328.967100,413.774900
27-04-2015,443.860000,563.390000
31-12-2015,542.003200,577.125000
06-01-2016,622.000000,730.000000
06-07-2015,435.230000,519.500000
25-01-2016,597.990000,723.580000
20-05-2015,332.274000,414.637300
24-02-2015,378.650000,530.000000
01-10-2015,388.360000,480.612300
06-02-2015,374.870000,527.640000
09-12-2015,678.000000,759.170000
25-08-2015,487.490000,614.910000
27-02-2015,288.000000,421.222400
05-08-2015,538.800000,634.330000
29-12-2015,508.485000,605.685100
08-12-2015,523.872700,568.417500
22-09-2015,426.370900,489.060000
25-09-2015,428.630300,503.816000
11-06-2015,432.290000,538.420000
12-10-2015,539.960000,642.090000
27-08-2015,513.710000,639.400000
19-10-2015,570.760000,661.180000
09-04-2015,380.660000,541.030000
26-02-2015,384.070000,543.210000
21-07-2015,487.900000,655.210000
26-01-2016,603.450000,713.850000
14-04-2015,383.510000,536.250000
02-06-2015,430.070000,532.930000
14-07-2015,462.320000,546.760000
24-11-2015,674.140000,752.000000
31-07-2015,539.090000,631.380000
16-04-2015,383.690000,529.900000
09-11-2015,658.650000,730.200000
12-05-2015,327.620800,425.280000
23-03-2015,378.070000,560.430000
09-09-2015,393.000000,465.915000
15-12-2015,665.030000,753.000000
24-06-2015,444.970000,540.000000
19-05-2015,424.870000,533.980000
01-06-2015,331.408000,402.592500
28-01-2016,608.370000,722.220000
26-05-2015,426.200000,538.120000
10-06-2015,319.845000,397.020000
19-08-2015,533.740000,656.600000
30-06-2015,325.650000,410.295600
26-06-2015,441.760000,537.260000
04-05-2015,322.848000,409.282800
02-11-2015,476.618800,568.848000
24-07-2015,578.990000,647.000000
23-12-2015,666.500000,753.470000
14-12-2015,494.147500,593.432000
14-01-2016,580.250000,705.380000
31-08-2015,516.440000,627.540000
10-09-2015,515.150000,613.100000
14-08-2015,528.250000,655.010000
16-03-2015,285.192600,418.722000
25-06-2015,350.456000,409.541200
04-11-2015,627.760000,722.000000
21-04-2015,391.310000,537.510000
20-01-2016,564.360000,688.610000
17-04-2015,306.104000,407.068200
17-09-2015,526.980000,637.790000
27-05-2015,320.587500,426.240000
25-03-2015,375.170000,570.500000
20-11-2015,531.160000,589.758700
05-05-2015,329.823000,414.421700
27-01-2016,601.990000,713.670000
13-01-2016,620.880000,730.850000
11-11-2015,523.967500,585.968000
19-06-2015,440.260000,537.210000
13-08-2015,527.370000,659.320000
15-05-2015,428.000000,539.180000
13-02-2015,283.807500,429.246500
09-07-2015,434.900000,523.120000
02-02-2016,450.300000,588.375000
28-10-2015,612.300000,707.330000
21-12-2015,668.500000,746.130000
29-07-2015,530.920000,628.800000
06-04-2015,370.100000,532.220000
03-03-2015,307.160000,433.542000
19-02-2015,373.490000,538.040000
17-12-2015,680.000000,762.420000
07-01-2016,621.800000,730.310000
04-09-2015,388.167000,468.000000
14-05-2015,330.676500,421.678300
27-07-2015,527.750000,621.000000
23-06-2015,435.590000,539.640000
21-09-2015,430.020700,488.488000
01-02-2016,578.150000,750.460000
16-12-2015,663.560000,750.000000
15-01-2016,440.624800,539.986200
09-02-2015,371.000000,528.000000
18-02-2015,375.420000,541.400000
09-03-2015,378.400000,566.860000
02-12-2015,681.000000,768.900000
04-06-2015,434.400000,537.760000
09-06-2015,422.960000,527.560000
15-07-2015,463.040000,560.130000
31-03-2015,373.240000,550.000000
30-07-2015,527.650000,630.000000
17-11-2015,514.013500,561.553300
28-08-2015,398.475000,487.271400
10-03-2015,286.862000,440.115000
06-11-2015,655.000000,731.500000
14-09-2015,529.440000,625.700000
01-12-2015,673.750000,747.110000
01-07-2015,439.350000,524.730000
26-03-2015,369.590000,557.590000
04-02-2015,279.536400,418.099600
02-04-2015,281.580000,432.680000
13-03-2015,371.520000,553.500000
10-12-2015,665.590000,752.850000
30-10-2015,494.547900,551.112100
08-06-2015,425.620000,533.310000
21-05-2015,329.560000,424.980500
26-08-2015,484.020000,610.350000
10-04-2015,384.310000,542.290000
20-10-2015,572.000000,664.040000
11-02-2015,293.271700,406.828000
24-12-2015,663.350000,749.550000
06-03-2015,296.850400,454.155200
13-04-2015,383.530000,538.410000
05-02-2015,366.000000,523.790000
21-10-2015,563.870000,654.150000
29-06-2015,434.980000,525.010000
29-09-2015,506.000000,597.280000
11-05-2015,432.510000,538.370000
22-01-2016,588.730000,723.600000
07-05-2015,424.150000,523.990000
27-10-2015,480.794000,537.608800
24-09-2015,530.550000,616.640000
22-07-2015,364.492500,502.276400
02-03-2015,380.850000,560.530000
18-11-2015,646.510000,727.580000
07-08-2015,402.161600,505.781700
10-02-2015,371.190000,529.300000
03-08-2015,537.450000,625.340000
12-03-2015,368.820000,553.510000
30-04-2015,427.110000,547.870000
05-06-2015,429.660000,536.350000
13-07-2015,448.290000,532.880000
20-04-2015,378.550000,525.600000
12-06-2015,431.250000,531.600000
21-01-2016,573.580000,702.180000
29-04-2015,426.750000,550.470000
04-08-2015,529.690000,628.420000
14-10-2015,551.340000,653.210000
05-11-2015,647.100000,729.470000
17-03-2015,282.043600,430.333800
10-07-2015,330.367500,399.980400
10-08-2015,528.520000,639.480000
17-08-2015,398.467500,505.736000
25-02-2015,377.270000,535.900000
16-10-2015,565.270000,664.110000
28-07-2015,536.000000,632.830000
08-07-2015,330.106000,395.998000
15-06-2015,427.660000,528.000000
15-10-2015,547.750000,654.660000
11-09-2015,521.070000,619.750000
23-04-2015,296.559600,427.390000
02-10-2015,512.990000,607.200000
27-03-2015,367.110000,553.000000
20-03-2015,376.290000,561.650000
11-08-2015,523.650000,669.200000
05-03-2015,304.631900,431.265000
24-03-2015,373.990000,562.560000
06-05-2015,421.430000,531.240000
18-03-2015,281.177200,419.900000
13-10-2015,415.157600,508.088500
04-01-2016,518.469100,564.680000
12-01-2016,487.695000,570.127200
07-04-2015,285.874000,430.464000
01-09-2015,499.140000,602.360000
03-11-2015,491.033400,560.710800
22-06-2015,437.000000,539.590000
25-11-2015,675.000000,748.140000
20-08-2015,530.390000,655.460000
16-07-2015,465.500000,565.120000
01-05-2015,423.820000,538.430000
03-12-2015,679.440000,766.010000
07-12-2015,674.740000,767.770000
11-12-2015,651.230000,741.160000
19-11-2015,525.342100,590.992000
10-11-2015,653.000000,724.400000
30-12-2015,525.836400,582.450000
11-03-2015,370.610000,555.140000
08-04-2015,374.660000,538.380000
15-04-2015,292.334000,407.099000
04-03-2015,308.568000,451.777300
13-05-2015,429.980000,530.560000
12-08-2015,523.750000,663.080000
17-06-2015,321.270000,412.908600
19-01-2016,577.090000,703.300000
29-01-2016,428.985000,563.278100
08-05-2015,430.750000,536.650000
28-05-2015,343.768000,425.027900
18-06-2015,430.300000,531.000000
08-09-2015,508.690000,612.490000
22-10-2015,562.700000,646.700000
